use_no, field_name, old_value, new_value, error_id
4026231, ACRE_PLANTED, 1.7, 1.9, 155192
4026232, ACRE_PLANTED, 1.7, 1.9, 155193
4020824, AMT_PRD_USED, 48, 6.0838, 152212
3951637, LBS_PRD_USED, .1571, .1571, 128389
3951637, AMT_PRD_USED, 28, 2.201, 128389
3951640, LBS_PRD_USED, .0683, .0683, 128390
3951640, AMT_PRD_USED, 20, 1.0927, 128390
4020874, ACRE_PLANTED, 556.28, 560, 152262
4020827, ACRE_PLANTED, 40, 44.1, 152215
4020836, ACRE_PLANTED, 62.5, 77, 152224
4020861, ACRE_PLANTED, 16.7, 17, 152249
4020867, ACRE_PLANTED, 168.1, 169, 152255
4020875, ACRE_PLANTED, 556.28, 560, 152263
4020878, ACRE_PLANTED, 556.28, 560, 152266
4020889, ACRE_PLANTED, 168.1, 169, 152277
4020884, ACRE_PLANTED, 62.5, 77, 152272
4020890, ACRE_PLANTED, 168.1, 169, 152278
4020896, ACRE_PLANTED, 37.4, 38.37, 152284
4020899, ACRE_PLANTED, 158, 168.55, 152287
4020909, ACRE_PLANTED, 37.4, 38.37, 152297
4020907, ACRE_PLANTED, 80, 84.72, 152295
4020908, ACRE_PLANTED, 37.4, 38.37, 152296
4020920, ACRE_PLANTED, 100, 113.13, 152308
4020924, ACRE_PLANTED, 105, 106, 152313
3951305, LBS_PRD_USED, 9.757, 9.757, 128309
3951305, AMT_PRD_USED, 3086, 1.0843, 128309
3951307, LBS_PRD_USED, 1.9464, 1.9464, 128310
3951307, AMT_PRD_USED, 25, .1718, 128310
3951308, LBS_PRD_USED, 1.9464, 1.9464, 128311
3951308, AMT_PRD_USED, 25, .1718, 128311
3951309, LBS_PRD_USED, 1.9464, 1.9464, 128312
3951309, AMT_PRD_USED, 50, .1718, 128312
3951310, LBS_PRD_USED, 1.9528, 1.9528, 128313
3951310, AMT_PRD_USED, 25, .1953, 128313
3951351, ACRE_TREATED, .01, 4.47, 128318
3951369, LBS_PRD_USED, 9.8302, 9.8302, 128321
3951369, AMT_PRD_USED, 184332, 144.6589, 128321
3951430, ACRE_TREATED, .99, 18.94, 128324
3951433, LBS_PRD_USED, 1.9107, 1.9107, 128325
3951433, AMT_PRD_USED, 3.75, .2236, 128325
3951503, LBS_PRD_USED, 3.1412, 3.1412, 128344
3951503, AMT_PRD_USED, 1, .3164, 128344
3951526, LBS_PRD_USED, 15.0852, 15.0852, 128359
3951526, AMT_PRD_USED, 230.4, 1.6925, 128359
3951580, UNIT_TREATED, U, A, 128372
3951596, LBS_PRD_USED, .8825, .8825, 128375
3951596, AMT_PRD_USED, 75, 13.1076, 128375
3951597, LBS_PRD_USED, .8023, .8023, 128376
3951597, AMT_PRD_USED, 50, 11.9159, 128376
3951601, LBS_PRD_USED, 3.5399, 3.5399, 128377
3951601, AMT_PRD_USED, 43.5, .42, 128377
